Tue Nov 19 13:34:32 2024

<base> : Rectangle : 0m, 0m, 0m; 4um, 50nm, 5nm. Cells : 800, 10, 1. Cellsize : 5nm, 5nm, 5nm
<supermesh> : Rectangle : 0m, 0m, 0m; 4um, 50nm, 5nm. Cells : 800, 10, 1. Cellsize : 5nm, 5nm, 5nm

Saved data (dataname (unit) <meshname> (cells_rectangle)) : 

sstep		iter	time (s)	

0	0	0	0
0	0	100	1e-13
0	0	200	2e-13
0	0	300	3e-13
0	0	400	4e-13
0	0	500	5e-13
0	0	600	6e-13
0	0	700	7e-13
0	0	800	8e-13
0	0	900	9e-13
0	0	1000	1e-12
0	0	1100	1.1e-12
0	0	1200	1.2e-12
0	0	1300	1.3e-12
0	0	1400	1.4e-12
0	0	1500	1.5e-12
0	0	1600	1.6e-12
0	0	1700	1.7e-12
0	0	1800	1.8e-12
0	0	1900	1.9e-12
0	0	2000	2e-12
0	0	2100	2.1e-12
0	0	2200	2.2e-12
0	0	2300	2.3e-12
0	0	2400	2.4e-12
0	0	2500	2.5e-12
0	0	2600	2.6e-12
0	0	2700	2.7e-12
0	0	2800	2.8e-12
0	0	2900	2.9e-12
0	0	3000	3e-12
0	0	3100	3.1e-12
0	0	3200	3.2e-12
0	0	3300	3.3e-12
0	0	3400	3.4e-12
0	0	3500	3.5e-12
0	0	3600	3.6e-12
0	0	3700	3.7e-12
0	0	3800	3.8e-12
0	0	3900	3.9e-12
0	0	4000	4e-12
0	0	4100	4.1e-12
0	0	4200	4.2e-12
0	0	4300	4.3e-12
0	0	4400	4.4e-12
0	0	4500	4.5e-12
0	0	4600	4.6e-12
0	0	4700	4.7e-12
0	0	4800	4.8e-12
0	0	4900	4.9e-12
0	0	5000	5e-12
